mechanism,epsilon,test_mse_mean,test_mse_std,rel_fro_mean,rel_fro_std,runtime_mean,n_seeds
Mech_Improved_Sheffet_RP,0.063095734448,0.046413702661004835,0.0130792349265113,167.62966858262072,14.080678875331357,0.019371449947357178,20
Mech_Improved_Sheffet_RP,0.218776162395,0.038631791786200395,0.009306410514381077,84.17074672947498,13.471535198203005,0.019375598430633544,20
Mech_Improved_Sheffet_RP,0.758577575029,0.03251403274297092,0.006029954905461016,63.864065733518885,13.80572752827593,0.019472396373748778,20
Mech_Improved_Sheffet_RP,2.6302679919,0.02837244481805748,0.0035907597140542205,59.30623065828038,13.599908983077166,0.019580602645874023,20
Mech_Improved_Sheffet_RP,9.12010839356,0.02690978456576793,0.0024219956624762086,58.11060878285953,13.425538071769154,0.019546163082122803,20
Mech_Improved_Sheffet_RP,31.6227766017,0.026730077273565984,0.0025480661065341303,57.74086780984601,13.34098690856054,0.019546771049499513,20
Mech_RP,0.063095734448,0.03837848659943092,0.00545401964697739,0.5475633978967898,0.08103360569377697,0.018825054168701172,20
Mech_RP,0.218776162395,0.03161784653682063,0.00334922180745131,0.3121929264235733,0.09575538973087143,0.021194970607757567,20
Mech_RP,0.758577575029,0.027836665924526126,0.0019427839691159789,0.2329353758717767,0.11274348851394378,0.023145198822021484,20
Mech_RP,2.6302679919,0.026734781317334883,0.0014133419678255404,0.20381211616066527,0.1214906922810035,0.020581150054931642,20
Mech_RP,9.12010839356,0.026652298388284236,0.0014236463056811002,0.1927189294456439,0.125140177201416,0.019559478759765624,20
Mech_RP,31.6227766017,0.02682797133564795,0.0016737591638835356,0.1884803102716299,0.1265157435893045,0.01988896131515503,20
Mech_Sheffet_RP,0.063095734448,0.06184906937280443,0.020067172341869822,511.38397715172414,27.72770520061964,0.019783437252044678,20
Mech_Sheffet_RP,0.218776162395,0.046492398598927745,0.013116111299147208,168.8073694704051,14.109467710685339,0.019616055488586425,20
Mech_Sheffet_RP,0.758577575029,0.03798465498085521,0.008976742041117614,80.53625243353225,13.540025014850324,0.01968170404434204,20
Mech_Sheffet_RP,2.6302679919,0.03144349322815633,0.005429011501991181,62.351583508500674,13.779759600516963,0.019669270515441893,20
Mech_Sheffet_RP,9.12010839356,0.02764357901795451,0.003058134477483427,58.735159267269296,13.529603941654372,0.019693529605865477,20
Mech_Sheffet_RP,31.6227766017,0.026732598220422166,0.0023952650012651813,57.83904805643,13.366041289820261,0.01960653066635132,20
